강길부	무소속	찬성
강창일	더불어민주당	기권
강훈식	더불어민주당	찬성
고용진	더불어민주당	찬성
권칠승	더불어민주당	반대
김경진	무소속	찬성
김광림	미래통합당	찬성
김규환	미래통합당	찬성
김명연	미래통합당	찬성
김병기	더불어민주당	찬성
김부겸	더불어민주당	찬성
김상희	더불어민주당	찬성
김성식	무소속	찬성
金成泰	미래통합당	찬성
김영주	더불어민주당	찬성
김영춘	더불어민주당	찬성
김정우	더불어민주당	반대
김종민	더불어민주당	찬성
김진태	미래통합당	반대
김철민	더불어민주당	찬성
김한정	더불어민주당	찬성
김해영	더불어민주당	찬성
김현아	미래통합당	찬성
노웅래	더불어민주당	찬성
맹성규	더불어민주당	찬성
민홍철	더불어민주당	반대
박광온	더불어민주당	찬성
박병석	더불어민주당	찬성
박완주	더불어민주당	찬성
박정	더불어민주당	찬성
박주현	민생당	찬성
박찬대	더불어민주당	찬성
백재현	더불어민주당	찬성
변재일	더불어민주당	찬성
서영교	더불어민주당	찬성
설훈	더불어민주당	찬성
소병훈	더불어민주당	찬성
송석준	미래통합당	찬성
송영길	더불어민주당	찬성
신동근	더불어민주당	기권
신용현	미래통합당	찬성
심기준	더불어민주당	반대
심재권	더불어민주당	기권
안규백	더불어민주당	찬성
안상수	미래통합당	기권
어기구	더불어민주당	반대
염동열	미래통합당	반대
우상호	더불어민주당	찬성
원혜영	더불어민주당	찬성
유동수	더불어민주당	찬성
유성엽	민생당	찬성
윤관석	더불어민주당	찬성
윤영석	미래통합당	찬성
윤일규	더불어민주당	찬성
윤준호	더불어민주당	찬성
윤후덕	더불어민주당	찬성
이규희	더불어민주당	찬성
이상민	더불어민주당	찬성
이양수	미래통합당	찬성
이용주	무소속	찬성
이은권	미래통합당	반대
이인영	더불어민주당	찬성
이정미	정의당	찬성
이종명	미래한국당	찬성
이주영	미래통합당	찬성
이철규	미래통합당	반대
이학영	더불어민주당	반대
이해찬	더불어민주당	찬성
이혜훈	미래통합당	찬성
이훈	더불어민주당	찬성
임이자	미래통합당	찬성
장정숙	민생당	찬성
전해철	더불어민주당	찬성
전혜숙	더불어민주당	찬성
정용기	미래통합당	찬성
정인화	무소속	반대
정춘숙	더불어민주당	찬성
조경태	미래통합당	찬성
조승래	더불어민주당	찬성
조정식	더불어민주당	찬성
진선미	더불어민주당	찬성
최경환	민생당	찬성
최운열	더불어민주당	찬성
최재성	더불어민주당	찬성
한정애	더불어민주당	기권
허윤정	더불어민주당	찬성
홍영표	더불어민주당	찬성
황희	더불어민주당	찬성
강병원	더불어민주당	찬성
강효상	미래통합당	기권
경대수	미래통합당	반대
권미혁	더불어민주당	찬성
기동민	더불어민주당	찬성
김관영	무소속	찬성
김광수	민생당	찬성
김두관	더불어민주당	찬성
김병관	더불어민주당	찬성
김병욱	더불어민주당	찬성
김삼화	미래통합당	찬성
김선동	미래통합당	반대
김성원	미래통합당	반대
김성환	더불어민주당	찬성
김영진	더불어민주당	찬성
김영호	더불어민주당	찬성
김정호	더불어민주당	찬성
김종회	민생당	찬성
김진표	더불어민주당	찬성
김태년	더불어민주당	반대
김한표	미래통합당	찬성
김현권	더불어민주당	찬성
남인순	더불어민주당	찬성
도종환	더불어민주당	찬성
문희상	무소속	찬성
박경미	더불어민주당	찬성
박범계	더불어민주당	찬성
박순자	미래통합당	찬성
박용진	더불어민주당	찬성
박주민	더불어민주당	찬성
박지원	민생당	찬성
박홍근	더불어민주당	찬성
백혜련	더불어민주당	찬성
서삼석	더불어민주당	찬성
서형수	더불어민주당	찬성
성일종	미래통합당	찬성
송기헌	더불어민주당	기권
송언석	미래통합당	찬성
송옥주	더불어민주당	반대
신보라	미래통합당	찬성
신창현	더불어민주당	찬성
심상정	정의당	찬성
심재철	미래통합당	찬성
안민석	더불어민주당	찬성
안호영	더불어민주당	찬성
여영국	정의당	기권
오영훈	더불어민주당	찬성
우원식	더불어민주당	찬성
위성곤	더불어민주당	찬성
유민봉	미래통합당	반대
유의동	미래통합당	기권
윤소하	정의당	찬성
윤영일	민생당	찬성
윤재옥	미래통합당	찬성
윤호중	더불어민주당	찬성
이개호	더불어민주당	찬성
이동섭	미래통합당	찬성
이상헌	더불어민주당	찬성
이언주	미래통합당	기권
이원욱	더불어민주당	반대
이은재	미래통합당	찬성
이장우	미래통합당	반대
이종구	미래통합당	찬성
이종배	미래통합당	찬성
이채익	미래통합당	찬성
이춘석	더불어민주당	찬성
이학재	미래통합당	반대
이헌승	미래통합당	기권
이후삼	더불어민주당	찬성
인재근	더불어민주당	찬성
임종성	더불어민주당	찬성
전재수	더불어민주당	기권
전현희	더불어민주당	찬성
정성호	더불어민주당	찬성
정유섭	미래통합당	찬성
정점식	미래통합당	찬성
제윤경	더불어민주당	찬성
조배숙	민생당	찬성
조응천	더불어민주당	찬성
주광덕	미래통합당	기권
천정배	민생당	찬성
최도자	민생당	반대
최인호	더불어민주당	찬성
표창원	더불어민주당	찬성
함진규	미래통합당	찬성
홍문표	미래통합당	찬성
홍익표	더불어민주당	찬성
