,region,district,party,name,gender,birth,job,achievement,career,vote_rate,age,regeion,job2,achievement,,,,
201,전북,전주시완산구을,민주통합당,이상직,남,1963-01-30,이스타항공 회장,고려대학교 경영대학원 졸업(경영학석사),(전)(주)케이아이씨 대표이사,"39,892",54,전북,기업인,고려대학교,,,,
219,서울,은평구을,새누리당,이재오,남,1945-01-11,국회의원,고려대학교 교육대학원 졸업(교육학 석사),(전)국민권익위원장,"63,238",72,서울,국회의원,고려대학교,,,,
15,경기,부천시원미구갑,민주통합당,김경협,남,1962-11-07,[사단법인]한국고용복지센터 상임이사,고려대학교 노동대학원(경제학석사) 졸업,(전)한국노총 부천지역지부 의장,"33,397",55,경기,기타,고려대학교,,,,
29,경기,용인시을,민주통합당,김민기,남,1966-04-28,정당인,고려대학교 농업경제학과 졸업,(전)민주당 경기도당 대변인,"68,052",51,경기,정당인,고려대학교,,,,
292,비례,비례대표,민주통합당,홍의락,남,1955-03-11,정당인,고려대학교 농업경제학과졸업,(전)경북도지사후보,,62,비례,정당인,고려대학교,,,,
159,서울,강북구갑,민주통합당,오영식,남,1967-02-28,정당인,고려대학교 대학원 경영학과 박사과정(재무론) 수료,(전)고려대학교 총학생회장,"37,352",50,서울,정당인,고려대학교,,,,
150,인천,서구강화군을,새누리당,안덕수,남,1946-01-26,정당인,고려대학교 대학원 농업경제학과 졸업(경제학박사),(전)민선4기·5기 강화군수,"43,970",71,인천,정당인,고려대학교,,,,
287,경기,시흥시갑,새누리당,함진규,남,1959-08-13,한국무역보험공사 등기이사,고려대학교 대학원 법학박사과정 수료,(전)한나라당 시흥시갑 당협위원장,"39,939",58,경기,기타,고려대학교,,,,
250,강원,속초시고성군양양군,새누리당,정문헌,남,1966-05-04,정당인,고려대학교 대학원 정치외교학과 졸업,(전)제17대 국회의원,"31,447",51,강원,정당인,고려대학교,,,,
197,경북,포항시북구,새누리당,이병석,남,1952-10-28,국회의원,고려대학교 대학원 졸업(정치학박사),"16,17,18대 국회의원","74,824",65,경북,국회의원,고려대학교,,,,
189,강원,원주시을,새누리당,이강후,남,1953-06-04,정당인,고려대학교 대학원(행정학 박사)졸업,전)지식경제부 우정사업정보센터 센터장,"30,761",64,강원,정당인,고려대학교,,,,
129,경기,부천시원미구을,민주통합당,설훈,남,1953-04-23,정당인,고려대학교 문과대학 사학과 졸업,(전)15.16대 국회의원,"63,758",64,경기,정당인,고려대학교,,,,
172,경기,이천시,새누리당,유승우,남,1948-11-25,강남대학교 석좌교수,고려대학교 문과대학 사학과 졸업,"(전)제1,2,3대 이천시장","31,748",69,경기,교수,고려대학교,,,,
33,전남,순천시곡성군,통합진보당,김선동,남,1967-09-09,(현)국회의원,고려대학교 물리학과 제적(1985년 3월 ~ 1989년 2월),(전) 2006년 민주노동당 사무총장,"79,774",50,전남,국회의원,고려대학교,2월),,,
209,경기,화성시을,민주통합당,이원욱,남,1963-03-20,정당인,고려대학교 법과대학 법학과 4년 졸업,(현)민주당 화성시(을)지역위원회 위원장,"57,004",54,경기,정당인,고려대학교,,,,
102,전북,진안군무주군장수군임실군,민주통합당,박민수,남,1964-09-21,변호사,고려대학교 법과대학 법학과 졸업,(전)국민시대 전북지부 공동대표,"27,882",53,전북,변호사,고려대학교,,,,
246,경기,안산시상록구갑,민주통합당,전해철,남,1962-05-18,법무법인 해마루 대표변호사,고려대학교 법과대학 법학과 졸업,(전)노무현정부 청와대 민정수석,"46,927",55,경기,변호사,고려대학교,,,,
212,서울,구로구갑,민주통합당,이인영,남,1964-06-28,정당인,고려대학교 언론대학원 졸업(언론학 석사),(현)민주통합당 최고위원,"58,381",53,서울,정당인,고려대학교,,,,
242,서울,동작구갑,민주통합당,전병헌,남,1958-03-17,국회의원,고려대학교 정책대학원 졸업(경제학석사),(현)제18대 국회의원,"56,794",59,서울,국회의원,고려대학교,,,,
84,서울,노원구병,통합진보당,노회찬,남,1956-08-31,정당인,고려대학교 정치외교학과 졸업,(전)제17대 국회의원,"52,270",61,서울,정당인,고려대학교,,,,
164,경기,평택시갑,새누리당,원유철,남,1962-09-26,국회의원,고려대학교 정치외교학과 졸업,"(현)국회 국방위원장(제15,16,18대 국회의원)","42,031",55,경기,국회의원,고려대학교,,,,
137,서울,성북구을,민주통합당,신계륜,남,1954-08-13,사단법인 신정치문화원 이사장,고려대학교 행정학과 졸업,(전)서울시 정무부시장,"56,177",63,서울,기업인,고려대학교,,,,
87,부산,사하구갑,새누리당,문대성,남,1976-09-03,동아대학교 교수,국민대학교 대학원 이학 박사,(현) 동아대학교 교수,"30,455",41,부산,교수,국민대학교,,,,
157,강원,태백시영월군평창군정선군,새누리당,염동열,남,1961-02-28,정당인,국민대학교 대학원 졸업(행정학박사),(전)한국청년회의소 중앙회장,"46,537",56,강원,정당인,국민대학교,,,,
74,경북,포항시남구울릉군,새누리당,김형태,남,1952-12-10,정당인,국민대학교 정치외교학과 졸업,전)KBS 본사 국장,"45,775",65,경북,정당인,국민대학교,,,,
262,비례,비례대표,새누리당,조명철,남,1959-04-02,정당인,"김일성종합대학졸업(박사),(1983.9~1987.10)",(전)대외경제정책연구원 국제개발협력센터 소장,,58,비례,정당인,"김일성종합대학졸업(박사),(1983.9~1987.10)",,,,
166,부산,서구,새누리당,유기준,남,1959-08-10,국회의원,"뉴욕대학교 법학대학원 졸업(법학석사,1988.8.29.~1989.5.18.)",(전) 한나라당 대변인,"28,584",58,부산,국회의원,뉴욕대학교,,,,
259,서울,중구,민주통합당,정호준,남,1971-02-19,정당인(서울중구 지역위원장),뉴욕대학교(NYU) 그래픽커뮤니케이션 매니지먼트&테크놀러지 석사('97.9.~'99.5.),(전)노무현대통령 청와대비서실 정무행정관,"31,364",46,서울,위원장,뉴욕대학교(NYU),,,,
115,전남,목포시,민주통합당,박지원,남,1942-06-05,국회의원,단국대 상학과 졸업,(전)김대중대통령 비서실장,"63,705",75,전남,국회의원,단국대,,,,
155,충남,천안시갑,민주통합당,양승조,남,1959-03-21,국회의원,단국대학교 정책경영대학원 특수법무학과 졸업(법학석사),(현)제18대 국회의원,"57,810",58,충남,국회의원,단국대학교,,,,
277,비례,비례대표,새누리당,최봉홍,남,1942-11-28,전국항운노동조합연맹 위원장,대구 사범학교졸업(현 대구교육대학교),(현)한국노총 부위원장,,75,비례,위원장,대구사범학교,,,,
221,대구,달성군,새누리당,이종진,남,1950-05-05,정당인,대구농림고등학교((현) 대구자연과학고등학교) 졸업,(전) 민선4기 달성군수,"40,276",67,대구,정당인,대구농림고등학교((현),,,,
