,region,district,party,name,gender,birth,job,achievement,career,vote_rate,age,regeion,job2,achievement,,,,
195,서울,금천구,민주통합당,이목희,남,1953-09-10,정치인,서울대학교 무역학과 졸업,(전)제17대 국회의원,"54,547",64,서울,정당인,서울대학교,,,,
239,광주,남구,민주통합당,장병완,남,1952-05-05,제18대 국회의원,서울대학교 무역학과 졸업,(전) 노무현정부 기획예산처 장관,"58,680",65,광주,국회의원,서울대학교,,,,
248,서울,서대문구을,새누리당,정두언,남,1957-03-06,국회의원,서울대학교 무역학과 졸업,(전)서울특별시 정무부시장,"35,380",60,서울,국회의원,서울대학교,,,,
136,서울,영등포구을,민주통합당,신경민,남,1953-08-19,정당인,서울대학교 문리과대학 사회학과 졸업,(전)MBC 앵커,"45,458",64,서울,정당인,서울대학교,,,,
282,부산,해운대구기장군을,새누리당,하태경,남,1968-06-19,(사)열린북한 대표,서울대학교 물리학과 졸업,(전)SK텔레콤 수석연구원,"42,426",49,부산,기타,서울대학교,,,,
60,강원,춘천시,새누리당,김진태,남,1964-10-13,변호사,서울대학교 법과대학 공법학과 졸업,전)춘천지방검찰청 원주지청장,"58,629",53,강원,변호사,서울대학교,,,,
198,서울,관악구을,통합진보당,이상규,남,1965-01-07,정당인,서울대학교 법과대학 공법학과 졸업,전)한명숙 서울시장후보 선거대책본부장,"43,158",52,서울,정당인,서울대학교,,,,
220,경기,안양시만안구,민주통합당,이종걸,남,1957-05-22,변호사,서울대학교 법과대학 공법학과 졸업,(현)18대 국회의원,"58,328",60,경기,변호사,서울대학교,,,,
88,인천,부평구갑,민주통합당,문병호,남,1959-12-27,변호사,서울대학교 법과대학 법학과 졸업,(전)제17대 국회의원,"54,889",58,인천,변호사,서울대학교,,,,
156,경남,사천시남해군하동군,새누리당,여상규,남,1948-09-15,국회의원,서울대학교 법과대학 법학과 졸업,(현) 국회의원,"57,840",69,경남,국회의원,서울대학교,,,,
223,경남,창원시마산합포구,새누리당,이주영,남,1951-09-30,국회의원(제18대),서울대학교 법과대학 법학과 졸업,"(전)제16,17대 국회의원","57,035",66,경남,국회의원,서울대학교,,,,
272,서울,용산구,새누리당,진영,남,1950-10-23,국회의원,서울대학교 법과대학 법학과 졸업,(전) 서울지방법원 남부지원 판사,"56,067",67,서울,국회의원,서울대학교,,,,
274,전북,김제시완주군,민주통합당,최규성,남,1950-02-04,국회의원,서울대학교 법과대학 법학과 졸업,전)민주통합당 초대 사무총장,"41,757",67,전북,국회의원,서울대학교,,,,
252,경기,양주시동두천시,민주통합당,정성호,남,1962-06-02,변호사,서울대학교 법과대학 사법학과 졸업,제17대 국회의원,"60,016",55,경기,변호사,서울대학교,,,,
213,충남,논산시계룡시금산군,자유선진당,이인제,남,1948-12-11,국회의원,서울대학교 법과대학 졸업,(전)노동부장관,"40,076",69,충남,국회의원,서울대학교,,,,
237,광주,북구을,민주통합당,임내현,남,1952-12-21,변호사,서울대학교 법과대학 졸업,(전)광주고검장,"66,779",65,광주,변호사,서울대학교,,,,
240,경북,영주시,새누리당,장윤석,남,1950-01-05,제18대 국회의원,서울대학교 법과대학 졸업,전)법무부 검찰국장(검사장),"32,038",67,경북,국회의원,서울대학교,,,,
278,인천,계양구을,민주통합당,최원식,남,1963-03-08,변호사,서울대학교 법과대학 졸업,(현)민주통합당 계양을지역위원장,"38,045",54,인천,변호사,서울대학교,,,,
114,광주,동구,무소속,박주선,남,1949-07-23,제18대 국회의원,서울대학교 법과대학 행정학과 졸업,(전)민주당 최고위원(2회),"15,372",68,광주,국회의원,서울대학교,,,,
160,충북,청주시흥덕구갑,민주통합당,오제세,남,1949-04-05,국회의원,서울대학교 법과대학 행정학과 졸업,(현)제18대 국회의원,"39,314",68,충북,국회의원,서울대학교,,,,
203,경기,안양시동안구갑,민주통합당,이석현,남,1951-03-16,국회의원,서울대학교 법대 졸업,(전)민주당 정치개혁특별위원회 위원장,"43,869",66,경기,국회의원,서울대학교,,,,
26,광주,광산구갑,민주통합당,김동철,남,1955-06-30,국회의원,서울대학교 법학과 졸업,(전) 김대중대통령 정무기획비서관,"42,608",62,광주,국회의원,서울대학교,,,,
75,서울,서초구갑,새누리당,김회선,남,1955-05-03,변호사,서울대학교 법학과 졸업,(전) 국정원 2차장,"57,335",62,서울,변호사,서울대학교,,,,
91,경기,의정부시갑,민주통합당,문희상,남,1945-03-03,국회의원,서울대학교 법학과 졸업,(전)대통령비서실장,"39,252",72,경기,국회의원,서울대학교,,,,
191,전남,담양군함평군영광군장성군,민주통합당,이낙연,남,1952-12-20,국회의원,서울대학교 법학과 졸업,(현) 18대 국회의원?,"63,887",65,전남,국회의원,서울대학교,,,,
138,서울,강서구갑,민주통합당,신기남,남,1952-10-16,변호사,서울대학교 법학과 졸업(법학사),"(전)15,16,17대 국회의원","64,187",65,서울,변호사,서울대학교,,,,
165,경기,부천시오정구,민주통합당,원혜영,남,1951-09-27,정당인,서울대학교 사범대학 역사교육과 졸업,(전) ㈜ 풀무원식품 창업·경영,"38,350",66,경기,정당인,서울대학교,,,,
147,경기,안양시동안구을,새누리당,심재철,남,1958-01-18,국회의원,서울대학교 사범대학 영어교육과 졸업,(전)서울대학교 총학생회장,"42,405",59,경기,국회의원,서울대학교,,,,
145,서울,강남구갑,새누리당,심윤조,남,1954-07-26,정당인,서울대학교 사회과학대학 외교학과 졸업,(전)외교통상부 차관보,"82,582",63,서울,정당인,서울대학교,,,,
170,전북,정읍시,무소속,유성엽,남,1960-01-25,국회의원,서울대학교 사회과학대학 외교학과 졸업,(전)정읍시장,"28,810",57,전북,국회의원,서울대학교,,,,
140,경남,산청군함양군거창군,새누리당,신성범,남,1963-06-01,국회의원,서울대학교 사회과학대학 인류학과 졸업,(현)18대국회의원,"33,158",54,경남,국회의원,서울대학교,,,,
144,경기,고양시덕양구갑,통합진보당,심상정,여,1959-02-20,정당인,서울대학교 사회교육과 졸업,(전)국회의원,"43,928",58,경기,정당인,서울대학교,,,,
188,비례,비례대표,민주통합당,은수미,여,1963-12-06,노동정책연구자,서울대학교 사회학 박사,(전)KLI 부연구위원,,54,비례,연구원,서울대학교,,,,
175,서울,도봉구을,민주통합당,유인태,남,1948-09-05,정당인,서울대학교 사회학과 졸업,(전) 노무현 대통령 청와대 정무수석,"43,784",69,서울,정당인,서울대학교,,,,
233,세종특별자치시,세종특별자치시,민주통합당,이해찬,남,1952-07-10,정당인,서울대학교 사회학과 졸업,(전) 제36대 국무총리,"22,192",65,세종특별자치시,정당인,서울대학교,,,,
249,서울,동작구을,새누리당,정몽준,남,1951-10-17,국회의원,서울대학교 상과대학 경제학과 졸업,(현)아산사회복지재단이사장,"46,480",66,서울,국회의원,서울대학교,,,,
28,경기,성남시중원구,통합진보당,김미희,여,1966-01-18,정당인,서울대학교 약학대학 약학과 졸업,(전)이재명 성남시장 인수위원장,"46,062",51,경기,정당인,서울대학교,,,,
103,부산,북구강서구갑,새누리당,박민식,남,1965-11-20,국회의원,서울대학교 외교학과 졸업,(전) 서울중앙지검 특수1부 수석검사,"38,601",52,부산,국회의원,서울대학교,,,,
113,서울,송파구갑,새누리당,박인숙,여,1948-11-10,서울아산병원 선천성 심장병 센터장,서울대학교 의과대학 졸업(학사),(전) 베일러 의과대학 소아심장 전임의,"51,306",69,서울,의사,서울대학교,,,,
21,비례,비례대표,민주통합당,김기식,남,1966-03-06,민주통합당 전략기획위원장,서울대학교 인류학과 졸업,(전)참여연대 사무처장,,51,비례,위원장,서울대학교,,,,
35,전북,전주시덕진구,민주통합당,김성주,남,1964-04-10,정당인,서울대학교 인문대학 국사학과졸업,(전)전라북도의회 환경복지위원회 위원장,"64,744",53,전북,정당인,서울대학교,,,,
46,서울,양천구을,새누리당,김용태,남,1968-03-26,제18대 국회의원,서울대학교 정치학과 졸업,(현)제18대 국회의원,"48,811",49,서울,국회의원,서울대학교,,,,
143,인천,계양구갑,민주통합당,신학용,남,1952-01-21,국회의원,서울대학교 정치학과 졸업,(현)18대 국회의원,"39,752",65,인천,국회의원,서울대학교,,,,
297,강원,홍천군횡성군,새누리당,황영철,남,1965-07-13,국회의원,서울대학교 정치학과 졸업,(전) 한나라당 대표 권한대행 비서실장,"29,942",52,강원,국회의원,서울대학교,,,,
186,경기,구리시,민주통합당,윤호중,남,1963-03-27,정당인,서울대학교 철학과 졸업,(전) 제17대 국회의원,"40,524",54,경기,정당인,서울대학교,,,,
53,경북,군위군의성군청송군,새누리당,김재원,남,1964-12-20,영남대 법대 겸임교수,서울대학교 행정대학원 졸업,(전) 제17대 국회의원,"44,207",53,경북,교수,서울대학교,,,,
25,충남,당진시,새누리당,김동완,남,1958-06-20,정당인,서울대학교 행정대학원 졸업(석사),(전)대통령비서관,"26,870",59,충남,정당인,서울대학교,,,,
16,전북,군산시,민주통합당,김관영,남,1969-11-15,변호사,서울대학교 행정대학원 행정학과 졸업,전)재정경제부 사무관,"60,342",48,전북,변호사,서울대학교,,,,
3,울산,울주군,새누리당,강길부,남,1942-06-05,국회의원,서울대학교 환경대학원 졸업,(전)건설교통부 차관,"51,740",75,울산,국회의원,서울대학교,,,,
232,경북,문경시예천군,새누리당,이한성,남,1957-04-05,국회의원,서울대학교대학원법학과졸업(법학박사),(전)창원지검검사장,"37,040",60,경북,국회의원,서울대학교대학원법학과졸업(법학박사),,,,
117,광주,서구갑,민주통합당,박혜자,여,1956-05-23,대학교수,서울시립대학교 대학원 도시행정학과 졸업(행정학박사),(전)호남대학교 학장,"25,598",61,광주,교수,서울시립대학교,,,,
180,비례,비례대표,통합진보당,윤금순,여,1959-10-01,통합진보당 농민위원장,서울시립대학교 위생공학과졸업,(전)전국여성농민회총연합회장,,58,비례,위원장,서울시립대학교,,,,
116,비례,비례대표,새누리당,박창식,남,1959-10-17,(사)한국드라마제작사협회 회장,서울예술대학교 연극과졸업,(현)(주)김종학 프로덕션 대표이사,,58,비례,기업인,서울예술대학교,,,,
80,비례,비례대표,민주통합당,남인순,여,1958-11-05,민주통합당 최고위원,성공회대학교 복지대학원졸업(사회복지학석사),(전)여성단체연합 상임대표,,59,비례,정당인,성공회대학교,,,,
251,경기,여주군양평군가평군,새누리당,정병국,남,1958-02-10,국회의원,성균관 대학교 대학원 졸업(정치학박사),(전)문화체육관광부 장관,"71,544",59,경기,국회의원,성균관,,,,
194,충남,아산시,자유선진당,이명수,남,1955-02-11,국회의원,성균관대 대학원 졸업(행정학과 행정학 박사),(전) 충청남도 행정부지사,"41,359",62,충남,국회의원,성균관대,,,,
92,서울,동대문구을,민주통합당,민병두,남,1958-06-10,정당인,성균관대학교 경상대학 무역학과 졸업,(전)제17대 국회의원,"42,960",59,서울,정당인,성균관대학교,,,,
132,충북,제천시단양군,새누리당,송광호,남,1942-05-10,국회의원,성균관대학교 경제학과 졸업,(전)한나라당최고위원,"41,776",75,충북,국회의원,성균관대학교,,,,
285,경기,용인시병,새누리당,한선교,남,1959-06-23,국회의원,성균관대학교 국가전략 대학원 졸업,(현) 18대 용인 수지 국회의원,"66,996",58,경기,국회의원,성균관대학교,,,,
41,경기,포천시연천군,새누리당,김영우,남,1967-01-20,국회의원,성균관대학교 국정관리대학원 박사과정(수료),(현)제18대 국회의원,"41,024",50,경기,국회의원,성균관대학교,,,,
207,광주,광산구을,민주통합당,이용섭,남,1951-08-11,제 18대 국회의원,성균관대학교 대학원 경제학과 졸업(경제학 박사),(전) 건설교통부장관,"53,154",66,광주,국회의원,성균관대학교,,,,
149,서울,동대문구갑,민주통합당,안규백,남,1961-04-29,정당인,성균관대학교 무역대학원 무역학과 수료(석사과정),(전)노무현 대통령 인수위원회 전문위원,"41,993",56,서울,정당인,성균관대학교,,,,
270,비례,비례대표,민주통합당,진선미,여,1967-05-14,변호사,성균관대학교 법학과 졸업,(전)민변여성인권위원장,,50,비례,변호사,성균관대학교,,,,
211,강원,동해시삼척시,새누리당,이이재,남,1959-03-17,정당인,성균관대학교 사회복지대학원 사회복지학과 졸업(석사),전)한국광해관리공단이사장,"33,845",58,강원,정당인,성균관대학교,,,,
111,충남,천안시을,민주통합당,박완주,남,1966-11-10,정당인,성균관대학교 한국철학과 졸업,(전)민주통합당 천안을 지역위원장,"41,945",51,충남,정당인,성균관대학교,,,,
58,경북,상주시,새누리당,김종태,남,1949-03-16,한국군사문제연구원 연구위원,수원대학교 행정대학원 졸업(행정학박사),(전)국군기무사령관,"33,817",68,경북,연구원,수원대학교,,,,
86,비례,비례대표,새누리당,류지영,여,1950-03-04,(주)유아림 대표이사,숙명여자대학교 교육대학원 유아교육학졸업(교육학석사),(현)새누리당 중앙당 부대변인,,67,비례,기업인,숙명여자대학교,,,,
18,비례,비례대표,민주통합당,김광진,남,1981-04-28,정당인,순천대학교 대학원 석사과정 수료,(현)민주통합당 청년비례대표,,36,비례,정당인,순천대학교,,,,
169,대구,동구갑,새누리당,유성걸,남,1957-07-12,정당인,시라큐스대학교 경제학과 졸업(경제학 박사)(1988.9~1991.12),(전)기획재정부 제2차관,"36,342",60,대구,정당인,시라큐스대학교,,,,
30,비례,비례대표,새누리당,김상민,남,1973-07-14,대학생자원봉사단 V원정대 대표,아주대학교 사학과졸업,(현)보건복지부 희망나눔 정책네트워크 위원,,44,비례,기타,아주대학교,,,,
204,경기,광명시을,민주통합당,이언주,여,1972-11-08,변호사,연세대 법무대학원 경제법무전공 석사,(현) 민주통합당정책위부의장,"43,441",45,경기,변호사,연세대,,,,
200,비례,비례대표,새누리당,이상일,남,1961-10-31,정당인,연세대학교 경영대학원 경영학과졸업(경영학석사),(전)중앙일보 워싱턴 특파원,,56,비례,정당인,연세대학교,,,,
245,경기,성남시분당구을,새누리당,전하진,남,1958-09-02,기업인,연세대학교 경영대학원 졸업(석사),(전) (주)한글과컴퓨터 대표이사,"52,362",59,경기,기업인,연세대학교,,,,
81,충북,청주시흥덕구을,민주통합당,노영민,남,1957-11-25,국회의원,연세대학교 경영학과 졸업,(현)국회 지식경제위원,"41,606",60,충북,국회의원,연세대학교,,,,
44,경기,안산시상록구을,민주통합당,김영환,남,1955-05-27,국회의원,연세대학교 경제대학원 공공발전전공 석사과정졸업(경제학석사),(전)과학기술부 장관,"34,509",62,경기,국회의원,연세대학교,,,,
187,경기,파주시갑,민주통합당,윤후덕,남,1957-01-09,정당인,연세대학교 경제대학원 졸업(경제학 석사),(전)노무현대통령 비서실 정무비서관,"43,456",60,경기,정당인,연세대학교,,,,
225,경기,수원시갑,민주통합당,이찬열,남,1959-07-15,국회의원,연세대학교 경제대학원 졸업(경제학 석사),(현)제18대 국회의원,"63,192",58,경기,국회의원,연세대학교,,,,
162,서울,노원구을,민주통합당,우원식,남,1957-09-18,정당인,연세대학교 공학대학원 졸업(공학석사),(전)17대 국회의원 역임,"50,844",60,서울,정당인,연세대학교,,,,
296,대구,달서구갑,새누리당,홍지만,남,1968-02-01,정당인,연세대학교 국제학대학원 정치학전공 석사과정 졸업,(전)SBS 뉴스 앵커,"43,570",49,대구,정당인,연세대학교,,,,
106,인천,중구동구옹진군,새누리당,박상은,남,1949-09-01,국회의원,연세대학교 대학원 법학과 졸업(법학석사),(현)18대 국회의원,"42,995",68,인천,국회의원,연세대학교,,,,
141,비례,비례대표,새누리당,신의진,여,1964-04-10,연세의대 세브란스병원 의사,연세대학교 대학원 의학과(의학박사),(현)연세대학교 의과대학 세브란스병원 정신과의사,,53,비례,의사,연세대학교,,,,
77,부산,연제구,새누리당,김희정,여,1971-04-13,정당인,연세대학교 대학원 정치학과 박사과정 수료,(전) 제17대 국회의원,"47,935",46,부산,정당인,연세대학교,,,,
178,경기,김포시,새누리당,유정복,남,1957-06-16,국회의원,연세대학교 대학원 정치학과 박사과정 수료,(전)농림수산식품부 장관,"61,591",60,경기,국회의원,연세대학교,,,,
104,대전,서구을,민주통합당,박범계,남,1963-04-27,변호사,연세대학교 법학과 졸업,(전)노무현대통령 법무비서관,"46,908",54,대전,변호사,연세대학교,,,,
59,서울,강남구을,새누리당,김종훈,남,1952-05-05,정당인,연세대학교 상경대학 경영학과 졸업,(전)외교통상부 통상교섭본부장(장관급),"73,346",65,서울,정당인,연세대학교,,,,
241,비례,비례대표,민주통합당,장하나,여,1977-06-19,정당인,"연세대학교 인문학부(사회,철학복수전공)졸업",(전)민주당 제주도당 대변인,,40,비례,정당인,연세대학교,,,,
66,경북,구미시을,새누리당,김태환,남,1943-09-24,국회의원,연세대학교 정치외교학과 졸업,(현)제18대 국회의원,"38,090",74,경북,국회의원,연세대학교,,,,
72,경기,고양시일산서구,민주통합당,김현미,여,1962-11-29,정당인,연세대학교 정치외교학과 졸업,(전) 노무현대통령비서실 국내언론비서관,"63,432",55,경기,정당인,연세대학교,,,,
218,비례,비례대표,새누리당,이재영(비),남,1975-11-16,World Economic Forum 아시아팀 부국장,연세대학교 행정대학원 국제관계안보졸업(석사),(전)(주)반도건설 두바이 해외프로젝트 담당과장,,42,비례,기타,연세대학교,,,,
109,충남,공주시,민주통합당,박수현,남,1964-08-14,정당인,연세대학교 행정대학원 사회복지전공 석사과정 졸업,(전)충청남도(안희정도지사) 정책특별보좌관,"26,210",53,충남,정당인,연세대학교,,,,
100,경남,진주시갑,새누리당,박대출,남,1961-03-18,정당인,연세대학교 행정대학원 외교안보전공 졸업(행정학 석사),(전)서울신문 논설위원,"31,463",56,경남,정당인,연세대학교,,,,
264,경기,시흥시을,민주통합당,조정식,남,1963-12-25,국회의원,연세대학교 행정대학원 졸업,(현)18대 국회의원,"34,596",54,경기,국회의원,연세대학교,,,,
227,경북,김천시,새누리당,이철우,남,1955-08-15,국회의원,연세대학교 행정대학원 졸업(정치학석사),(전)경상북도부지사,"49,909",62,경북,국회의원,연세대학교,,,,
161,서울,서대문구갑,민주통합당,우상호,남,1962-12-12,정당인,연세대학교 행정대학원 졸업(행정학 석사),(현)민주통합당 전략홍보본부장,"40,481",55,서울,정당인,연세대학교,,,,
64,경기,고양시덕양구을,새누리당,김태원,남,1951-03-19,국회의원,연세대학교 행정대학원 행정학석사,(현)제18대 국회의원,"38,097",66,경기,국회의원,연세대학교,,,,
98,인천,남동구갑,민주통합당,박남춘,남,1958-07-02,정당인,영국 웨일즈대학교 교통대학원 3학기 교통경제학 석사 졸업(1993년 9월~1995년 2월),(전) 노무현대통령 인사수석,"56,283",59,인천,정당인,영국,졸업(1993년,9월~1995년,2월),
286,비례,비례대표,민주통합당,한정애,여,1965-01-08,안전보건공단 연구위원,영국노팅험대 산업공학박사(3년6월),(전)안전보건공단 노조위원장,,52,비례,연구원,영국노팅험대,,,,
243,비례,비례대표,민주통합당,전순옥,여,1953-05-05,(주)참신나는옷 대표이사,영국워릭대학교 사회학박사(1997.1.~2002.7.),(현)(사)참여성노동복지터 대표,,64,비례,기업인,영국워릭대학교,,,,
269,대구,수성구을,새누리당,주호영,남,1960-12-10,국회의원,영남대학교 대학원 법학과 졸업(법학 박사),전)특임장관,"50,953",57,대구,국회의원,영남대학교,,,,
263,대구,달서구병,새누리당,조원진,남,1959-01-07,국회의원,영남대학교 행정대학원 정책분석학과 졸업(행정학 석사),(현)제18대 국회의원,"49,842",58,대구,국회의원,영남대학교,,,,
78,부산,부산진구갑,새누리당,나성린,남,1953-03-27,국회의원,옥스퍼드대학교 경제학 박사('84.10 ~ '88.11),(현) 한양대학교 경제금융학부 교수,"37,836",64,부산,국회의원,옥스퍼드대학교,,,,
217,경기,평택시을,새누리당,이재영(지),남,1956-08-24,준종합건설(주) 회장,용인대학교 경영대학원 경영학과 재학,(전)한나라당 경기도의회의원,"40,036",61,경기,기업인,용인대학교,,,,
208,경기,용인시갑,새누리당,이우현,남,1957-01-03,정당인,용인대학교 경영대학원 경영학과 졸업(경영학 석사),(전) 용인시 의회 의장,"59,823",60,경기,정당인,용인대학교,,,,
226,울산,남구갑,새누리당,이채익,남,1955-05-27,정당인,울산대학교 대학원 행정학박사,"(전) 민선 1,2대 울산광역시 남구청장","40,687",62,울산,정당인,울산대학교,,,,
247,울산,중구,새누리당,정갑윤,남,1950-11-08,국회의원,울산대학교 산업대학원 산업관리공학 석사 졸업,(현)국회 예산결산특별위원회 위원장,"50,258",67,울산,국회의원,울산대학교,,,,
228,전북,익산시갑,민주통합당,이춘석,남,1963-03-07,국회의원,원광대학교 대학원 법학과 박사과정 수료,(현)18대 국회의원,"41,941",54,전북,국회의원,원광대학교,,,,
273,경북,경산시청도군,새누리당,최경환,남,1955-02-27,국회의원,위스콘신대학교 경제학 박사 졸업(1987.9.~1991.5.),(前)지식경제부 장관,"75,876",62,경북,국회의원,위스콘신대학교,,,,
6,서울,서초구을,새누리당,강석훈,남,1964-08-15,교수,위스콘신대학교 경제학 석·박사과정 졸업(경제학박사)(1987~1991),(현) 성신여대 경제학과 교수,"60,213",53,서울,교수,위스콘신대학교,,,,
9,대전,중구,새누리당,강창희,남,1946-08-03,정당인,육군사관학교 졸업,"(전)제11,12,14,15,16대 국회의원","48,934",71,대전,정당인,육군사관학교,,,,
127,서울,중랑구갑,민주통합당,서영교,여,1964-11-11,동국대학교 겸임교수,이화여자대학교 대학원 동아시아학 박사과정 수료,(전) 노무현대통령 청와대 춘추관장 겸 보도지원비서관,"33,891",53,서울,교수,이화여자대학교,,,,
284,비례,비례대표,민주통합당,한명숙,여,1944-03-24,정당인,이화여자대학교 대학원 여성학 석사,(전)제37대 국무총리,,73,비례,정당인,이화여자대학교,,,,
196,서울,은평구갑,민주통합당,이미경,여,1950-09-20,국회의원,이화여자대학교 대학원 정치외교학과 졸업(정치학 석사),(전)민주당 사무총장,"42,672",67,서울,국회의원,이화여자대학교,,,,
276,비례,비례대표,민주통합당,최민희,여,1960-12-03,혁신과 통합 사무총장,이화여자대학교 사학과졸업,(전)방송위 부위원장,,57,비례,기타,이화여자대학교,,,,
236,서울,도봉구갑,민주통합당,인재근,여,1953-11-11,인권운동가,이화여자대학교 사회학과 졸업,(전) 로버트 케네디 인권상 수상,"45,682",64,서울,운동가,이화여자대학교,,,,
32,경기,부천시소사구,민주통합당,김상희,여,1954-05-18,국회의원,이화여자대학교 약학대학 제약학과 졸업,(전)노무현 대통령 자문 지속가능발전위원회 위원장(장관급),"51,300",63,경기,국회의원,이화여자대학교,,,,
174,경기,고양시일산동구,민주통합당,유은혜,여,1962-10-02,정당인,이화여자대학교 정책과학대학원 정책과학과 졸업,(전)민주당 수석부대변인,"60,236",55,경기,정당인,이화여자대학교,,,,
256,부산,중구동구,새누리당,정의화,남,1948-12-18,국회의원,인제대 대학원 의학박사 (졸),(전)한나라당 비대위위원장,"31,484",69,부산,국회의원,인제대,,,,
134,경기,의왕시과천시,민주통합당,송호창,남,1967-02-14,변호사,인하대학교 경제학과 졸업,(전) 박원순 서울시장후보대변인,"57,120",50,경기,변호사,인하대학교,,,,
93,비례,비례대표,새누리당,민병주,여,1959-02-26,한국원자력연구원 연구위원,"일본 큐슈대대학원 핵물리학과졸업(이학박사), (1986.4~1991.3)",(전)대한여성과학기술인회 회장,,58,비례,연구원,큐슈대대학원,,,,
163,전남,광양시구례군,민주통합당,우윤근,남,1957-09-24,국회의원,전남대학교 대학원 법학과 졸업(법학박사),(전)민주당 원내수석부대표,"39,394",60,전남,국회의원,전남대학교,,,,
158,광주,서구을,통합진보당,오병윤,남,1957-06-26,정당인,전남대학교 사범대학 국어교육과 3년 제적,(전)민주노동당 사무총장,"37,344",60,광주,정당인,전남대학교,,,,
229,경기,군포시,민주통합당,이학영,남,1952-04-16,정당인,전남대학교 일반대학원 박사과정 수료(NGO협동과정),(전) 한국 YMCA 연맹 사무총장,"65,506",65,경기,정당인,전남대학교,,,,
280,서울,성동구갑,민주통합당,최재천,남,1963-11-19,변호사,전남대학교 일반대학원 법학과 법학박사 졸업,(전) 제17대 국회의원,"37,656",54,서울,변호사,전남대학교,,,,
2,광주,북구갑,민주통합당,강기정,남,1964-12-03,국회의원,전남대학교 행정대학원 졸업,(현)국회예결산특별위원회 간사,"37,718",53,광주,국회의원,전남대학교,,,,
39,전남,고흥군보성군,민주통합당,김승남,남,1966-10-06,정당인,전남대학교 행정대학원 행정학석사 졸업,전)87년 전남대학교 총학생회장,"32,336",51,전남,정당인,전남대학교,,,,
244,전북,익산시을,민주통합당,전정희,여,1960-10-24,전북대학교 겸임교수,전북대학교 대학원 정치학 박사,(현) 전북대학교 겸임교수,"25,797",57,전북,교수,전북대학교,,,,
271,비례,비례대표,민주통합당,진성준,남,1967-04-19,정당인,전북대학교 법학과졸업,(전)국회정책연구위원(2급상당),,50,비례,정당인,전북대학교,,,,
48,전북,전주시완산구갑,민주통합당,김윤덕,남,1966-05-23,정당인,전북대학교 상과대학 졸업,(현)노무현재단기획위원,"32,847",51,전북,정당인,전북대학교,,,,
55,비례,비례대표,새누리당,김정록,남,1951-06-22,(사)한국지체장애인협회 중앙회장,전주비전대학교 경영정보과졸업,(현)(주)씨피엘 대표이사,,66,비례,기업인,전주비전대학교,,,,
288,비례,비례대표,새누리당,현영희,여,1951-12-25,정당인,중앙대 대학원 유아교육학졸업(문학박사),(현)새누리당 상임전국위원,,66,비례,정당인,중앙대,,,,
12,강원,강릉시,새누리당,권성동,남,1960-04-29,국회의원,중앙대학교 대학원 석사과정(사법전공) 수료,(전) 대통령실 민정수석실 법무비서관,"57,433",57,강원,국회의원,중앙대학교,,,,
230,인천,서구강화군갑,새누리당,이학재,남,1964-08-19,국회의원,중앙대학교 대학원 졸업(경제학 박사),(전)민선 3·4대 인천서구청장,"64,202",53,인천,국회의원,중앙대학교,,,,
257,비례,비례대표,통합진보당,정진후,남,1957-11-06,정당인,중앙대학교 문예창작학과졸업,(전)수원제일중학교 교사,,60,비례,정당인,중앙대학교,,,,
83,경기,광주시,새누리당,노철래,남,1950-01-02,국회의원,중앙대학교 법과대학 법학과 졸업,(현)제18대 국회의원,"47,760",67,경기,국회의원,중앙대학교,,,,
68,경기,안성시,새누리당,김학용,남,1961-12-10,국회의원,중앙대학교 사회과학대학 경제학과 졸업,(전)경기도의회 부의장,"37,955",56,경기,국회의원,중앙대학교,,,,
49,서울,송파구병,새누리당,김을동,여,1945-09-05,국회의원,중앙대학교 정치외교학과 1년 중퇴(1963.3.1~1964.3.1),(현)제18대 국회의원,"59,664",72,서울,국회의원,중앙대학교,,,,
1,경남,창원시성산구,새누리당,강기윤,남,1960-06-04,일진금속공업(주) 대표이사,창원대학교 대학원 졸업(행정학 박사),(전)한나라당 18대 창원을 국회의원 출마,"52,502",57,경남,기업인,창원대학교,,,,
85,비례,비례대표,민주통합당,도종환,남,1955-09-27,시인,충남대학교 대학원졸업(문학박사),(전)한국작가회의 사무총장,,62,비례,기타,충남대학교,,,,
199,대전,유성구,민주통합당,이상민,남,1958-01-22,국회의원,충남대학교 법학과 졸업,(현)민주통합당 원내부대표,"65,900",59,대전,국회의원,충남대학교,,,,
90,비례,비례대표,자유선진당,문정림,여,1961-12-22,당 대변인,카톨릭대학교 대학원 졸업(의학박사),(전)카톨릭의대 재활의학과 교수,,56,비례,정당인,카톨릭대학교,,,,
295,비례,비례대표,민주통합당,홍종학,남,1959-05-12,가천대학교 교수,캘리포니아대 경제학 박사(4년9월),(전)경실련 재벌개혁위원장,,58,비례,교수,캘리포니아대,,,,
214,비례,비례대표,새누리당,이자스민,여,1977-01-06,정당인,필리핀 Ateneo de Davao 대학교 생물학과중퇴(1993.06~1996.03),(전)서울시 외국인생활지원과 주무관,,40,비례,정당인,필리핀 Ateneo de Davao,,,,
289,경기,의정부시을,새누리당,홍문종,남,1955-04-05,교육자,"하버드대학교 졸업(교육학 박사, 1989.9~1992.6)","(전)국회의원 (15, 16대)","41,726",62,경기,기타,하버드대학교,,,,
70,경남,거제시,무소속,김한표,남,1954-08-08,정치인,한국외국어대학교 대학원 행정학과 졸업(행정학박사),(전) 거제경찰서장,"32,647",63,경남,정당인,한국외국어대학교,,,,
