지역,LAT,LON
서울,37.541,126.986
부산,35.18376,129.0755
대구,35.87145,128.6014
인천,37.45622,126.7052
광주,35.16008,126.8515
대전,36.35042,127.3845
울산,35.53874,129.3114
세종,36.59248,127.2921
경기,37.27461,127.0095
강원,37.8863,127.7301
충북,36.63558,127.4914
충남,36.32676,127.4208
전북,35.821,127.1114
전남,34.81621,126.4629
경북,35.8925,128.6006
경남,35.23829,128.6924
제주,33.48901,126.4983
