대여일자,대여시간,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리,이동시간
2019-05-25,21,503,503. 더샵스타시티 C동 앞,일일권,F,20대,1,85.20,0.77,3310.0,26
2019-05-29,18,1734,1734. 쌍문현대1차아파트 108동 앞,정기권,,60대,1,0.00,0.00,0.0,27
2019-05-26,21,1846,1846. 롯데캐슬골드파크1차 동문,일일권,,20대,2,223.07,1.58,6830.0,75
2019-05-28,18,2266,2266. 서초역 3번출구,정기권,,20대,1,122.63,0.92,3970.0,21
2019-05-29,6,1736,1736. 버스정류장 앞,정기권,,20대,1,66.41,0.50,2150.0,14
2019-05-25,21,249,249. 여의도중학교 옆,단체권,,20대,2,198.20,1.79,7700.0,44
2019-05-31,19,215,215. 여의도고교 앞,정기권,,~10대,1,182.37,1.70,7310.0,51
2019-05-30,13,1222,1222. 잠실새내역 5번 출구 뒤,정기권,,40대,1,14.26,0.14,600.0,6
2019-05-28,16,1112,1112. 마곡엠밸리4단지 정문,일일권,M,20대,1,35.26,0.32,1370.0,13
2019-05-30,19,1605,1605. 헬스케어,정기권,,60대,1,14.74,0.14,610.0,5
2019-05-26,22,222,222. 시범아파트버스정류장 옆,정기권,F,20대,1,218.28,2.46,10600.0,55
2019-05-29,14,2342,2342. 대청역 1번출구  뒤,정기권,M,30대,1,42.49,0.34,1470.0,10
2019-05-31,17,540,540. 군자역 7번출구 베스트샵 앞,정기권,M,40대,1,1.45,0.01,50.0,0
2019-05-29,17,1171,1171. 염창동 새마을금고 건너편 (모닝글로리),정기권,M,30대,1,222.59,1.86,8030.0,117
2019-05-26,7,222,222. 시범아파트버스정류장 옆,일일권,,30대,1,45.08,0.48,2070.0,21
2019-05-24,12,2177,2177. 신대방역 2번 출구,정기권,M,20대,3,134.01,1.11,4780.0,53
2019-05-31,18,826,826. 서울역 서부교차로2,정기권,,50대,1,121.18,0.95,4080.0,26
2019-05-25,16,457,457. 종로꽃시장 입구 옆,정기권,,50대,1,43.34,0.33,1440.0,46
2019-05-25,23,3515,3515. 서울숲 관리사무소,일일권,,~10대,1,188.69,2.21,9530.0,94
2019-05-29,2,2235,2235.KT 서초지사 앞,정기권,,30대,1,66.72,0.54,2340.0,16
2019-05-26,21,2239,2239.교대역 6번출구,정기권,,20대,1,45.05,0.41,1750.0,17
2019-05-28,11,555,555. 구의3동주민센터,정기권,M,50대,1,75.93,0.68,2950.0,21
2019-05-29,15,1610,1610. 화랑대역 2번출구 앞,정기권,,20대,2,96.22,0.78,3370.0,16
2019-05-29,20,2231,2231. 삼성타운(삼성생명) A동 맞은편,정기권,M,30대,3,183.53,1.50,6470.0,40
2019-05-29,14,163,163. 명지전문대학교 정문 앞,정기권,,40대,1,116.70,0.98,4210.0,40
2019-05-26,19,1601,1601. 석계역 문화광장 내 자전거 보관소,정기권,M,30대,2,306.03,2.11,9090.0,62
2019-05-31,8,1347,1347. 길음래미안아파트817동 상가 앞,일일권,,20대,1,60.49,0.55,2350.0,14
2019-05-25,16,2219,"2219. 고속터미널역 8-1번, 8-2번 출구 사이",정기권,M,30대,1,205.52,1.61,6920.0,31
2019-05-30,17,1344,1344. 아리랑시네센터 앞,정기권,,50대,1,77.95,0.62,2660.0,20
2019-05-31,20,2505,2505. 우성아파트사거리 (기업은행앞),정기권,M,20대,1,83.09,0.62,2690.0,26
2019-05-30,12,214,214. 금융감독원 앞,정기권,M,40대,2,19.42,0.15,640.0,5
2019-05-26,14,2102,2102. 봉림교 교통섬,일일권,M,20대,1,1011.72,7.70,33180.0,184
2019-05-27,19,1155,1155. 기쁜우리복지관,정기권,,40대,1,320.78,2.21,9530.0,44
2019-05-24,20,241,241. 신길우성1차아파트 앞 공원,일일권,,20대,2,588.59,3.87,16690.0,201
2019-05-26,21,1158,1158. 가양역 8번출구,정기권,M,20대,1,848.49,6.37,27470.0,118
2019-05-25,11,660,660. 동의보감타워,정기권,,~10대,1,108.58,1.06,4570.0,23
2019-05-25,14,1413,1413. 봉화산역 5번출구 뒤,정기권,,20대,1,38.25,0.37,1610.0,40
2019-05-28,17,912,912. 응암오거리,정기권,M,30대,1,98.96,0.68,2940.0,21
2019-05-29,18,518,518. 청계천 박물관 앞,정기권,F,40대,2,179.63,1.76,7560.0,44
2019-05-28,21,1625,1625. 상계역(4번출구),정기권,,20대,3,226.66,1.74,7530.0,40
2019-05-24,11,1623,1623. 노원 구민회관,정기권,,20대,1,48.95,0.48,2060.0,42
2019-05-28,12,1150,1150. 송정역 1번출구,정기권,M,30대,1,26.77,0.24,1040.0,27
2019-05-28,19,118,118. 광흥창역 2번출구 앞,정기권,F,20대,1,26.85,0.26,1130.0,8
2019-05-25,4,3506,3506. 영동대교 북단,정기권,M,70대~,1,24.35,0.19,820.0,4
2019-05-29,19,3533,3533. 건대입구역 사거리(롯데백화점),정기권,M,30대,1,6.37,0.06,240.0,1
2019-05-31,2,2102,2102. 봉림교 교통섬,정기권,,~10대,1,34.13,0.39,1690.0,12
2019-05-28,8,2315,2315. 봉은사역 5번출구 옆,정기권,M,30대,2,34.93,0.30,1260.0,5
2019-05-29,18,905,905. 구파발역 2번출구,정기권,M,40대,1,24.20,0.22,940.0,10
2019-05-30,18,1267,1267. 올림픽공원 남2문 앞,정기권,M,30대,1,50.85,0.50,2140.0,10
2019-05-28,19,2102,2102. 봉림교 교통섬,정기권,,40대,3,862.10,8.39,36200.0,176
2019-05-30,11,907,907. CJ 드림시티,정기권,M,20대,1,115.00,0.84,3630.0,16
2019-05-30,19,1363,1363. 보문4교 인근,일일권,,30대,1,45.05,0.41,1750.0,10
2019-05-29,8,1166,1166. 강서구립등빛도서관,일일권,,20대,1,41.03,0.34,1480.0,23
2019-05-28,9,107,107. 신한은행 서교동금융센터점 앞,정기권,M,40대,1,238.39,1.62,7000.0,33
2019-05-26,20,157,157. 애오개역 4번출구 앞,정기권,,30대,1,384.28,2.81,12130.0,55
2019-05-29,17,1691,1691. 노원정보도서관,정기권,F,20대,1,18.02,0.16,700.0,4
2019-05-28,8,286,286. 우성아파트 교차로,정기권,F,20대,2,136.05,1.52,6590.0,31
2019-05-28,9,2277,2277. 길마중4교 하부,정기권,M,20대,1,233.76,2.17,9370.0,33
2019-05-28,20,574,574. 아차산역4번출구,정기권,F,40대,1,47.62,0.43,1850.0,11
2019-05-31,11,1199,1199. 우장산역 3번출구,정기권,M,20대,1,37.92,0.31,1330.0,6
2019-05-26,0,109,109. 제일빌딩 앞,일일권,M,20대,1,102.15,1.09,4690.0,31
2019-05-30,23,162,162. 봉원고가차도 밑,정기권,M,20대,1,21.15,0.21,890.0,3
2019-05-25,23,1668,1668. 중계역 6번출구,정기권,F,20대,1,194.93,1.36,5860.0,37
2019-05-28,21,1122,1122. 황금내근린공원,정기권,,30대,1,292.55,2.29,9850.0,36
2019-05-31,17,410,410. 상암중학교 옆,정기권,F,30대,2,214.54,2.27,9790.0,102
2019-05-31,0,2173,2173. 당곡사거리,정기권,M,20대,1,43.34,0.35,1520.0,7
2019-05-28,14,1167,1167. 마곡수명산파크3단지 교차로,정기권,M,40대,1,42.69,0.32,1400.0,8
2019-05-24,15,1308,1308. 안암로터리 버스정류장 앞,정기권,F,20대,1,32.87,0.39,1660.0,7
2019-05-24,17,2511,2511. 이수역 6번출구 앞,정기권,,20대,1,0.00,0.00,0.0,7
2019-05-26,17,329,329. 청계2가 사거리 옆,단체권,,20대,2,137.71,1.24,5350.0,38
2019-05-24,16,393,393. 동대문역 8번 출구,정기권,,50대,1,149.29,1.35,5800.0,26
2019-05-27,19,118,118. 광흥창역 2번출구 앞,정기권,,40대,1,64.06,0.78,3370.0,26
2019-05-24,17,828,828. 숙대입구역 8번,정기권,M,30대,1,0.00,0.00,0.0,52
2019-05-28,20,2109,2109. 은천로입구 가로공원,정기권,F,50대,1,75.68,0.68,2940.0,15
2019-05-31,17,1920,1920. 서울미래초등학교 사거리,정기권,,40대,1,195.43,1.85,7960.0,50
2019-05-30,8,752,752. 성원2차 아파트,정기권,,30대,1,24.31,0.22,930.0,14
2019-05-25,11,263,263. 근로자회관 사거리,정기권,,20대,1,1322.54,10.33,44530.0,10
2019-05-28,22,513,513. 뚝섬역 5번 출구 정류소 옆,정기권,,20대,3,184.78,1.69,7260.0,104
2019-05-26,20,310,310. 청계광장 옆,정기권,M,40대,1,51.32,0.38,1620.0,12
2019-05-27,20,1019,1019. 다성이즈빌아파트(호원대 대각선 맞은편),일일권,M,20대,1,64.61,0.58,2510.0,15
2019-05-30,8,559,559. 왕십리역 4번 출구 건너편,정기권,M,30대,2,191.93,1.58,6830.0,41
2019-05-30,16,2220,2220. 반포본동 주민센터 앞,정기권,,30대,1,93.52,0.86,3690.0,23
