대여일자,대여시간,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리,이동시간
2019-05-29,16,1911,1911. 구로디지털단지역 앞,정기권,F,30대,1,67.70,0.61,2630.0,34
2019-05-28,16,617,617. 청솔우성아파트 앞,정기권,M,60대,1,26.87,0.27,1170.0,12
2019-05-28,20,2359,"2359. 국립국악중,고교 정문 맞은편",정기권,M,30대,1,82.10,0.66,2840.0,12
2019-05-26,2,2407,2407. 역삼.서초.삼성 세무서 앞 (역삼빌딩 앞),일일권,M,20대,1,236.55,2.13,9190.0,54
2019-05-31,22,1601,1601. 석계역 문화광장 내 자전거 보관소,정기권,,20대,5,345.39,3.40,14610.0,98
2019-05-28,2,639,639. 서울시립대 후문,정기권,,20대,2,53.84,0.58,2510.0,12
2019-05-28,18,120,120. 신수동 사거리,정기권,,20대,1,36.83,0.29,1240.0,7
2019-05-30,11,349,349. 사직동주민센터,정기권,F,50대,1,51.22,0.46,1990.0,20
2019-05-31,13,1004,1004. 삼성광나루아파트 버스정류장,정기권,,20대,1,95.04,0.70,3000.0,19
2019-05-26,18,1925,1925. 동양미래대학교 정문 옆,정기권,F,40대,1,158.56,1.43,6160.0,26
2019-05-31,18,568,568. 청계8가사거리 부근,정기권,F,30대,1,75.56,0.74,3180.0,20
2019-05-26,19,118,118. 광흥창역 2번출구 앞,정기권,,30대,1,102.80,1.10,4720.0,35
2019-05-26,21,1010,1010. 강동세무서,일일권,,~10대,2,150.15,1.64,7050.0,262
2019-05-28,13,1184,1184. 마곡13단지,일일권,,30대,1,70.63,0.80,3430.0,17
2019-05-31,18,143,143. 공덕역 2번출구,정기권,F,30대,1,1043.44,10.36,44660.0,10
2019-05-31,14,1030,1030. 미호 플랜트 앞,정기권,,30대,1,135.18,1.16,5020.0,53
2019-05-30,23,1319,1319. 종암사거리 분수대,정기권,,50대,1,107.83,0.90,3890.0,16
2019-05-28,9,755,755. 목동1단지아파트 상가 앞 (월촌중학교 버스정류소 옆),정기권,F,50대,1,96.38,0.99,4270.0,24
2019-05-28,17,2202,2202.청계산입구역 1번출구,정기권,,40대,1,5181.42,43.37,186920.0,5
2019-05-24,14,324,324. 신세계백화점 본점 앞,정기권,M,40대,1,1157.59,11.30,48720.0,74
2019-05-28,21,1623,1623. 노원 구민회관,정기권,M,40대,1,14.30,0.10,430.0,4
2019-05-24,19,2314,2314. 청담나들목입구,정기권,,30대,1,140.18,1.39,6000.0,30
2019-05-25,14,1946,1946. 구로역 광장,일일권,,~10대,2,2.06,0.02,80.0,18
2019-05-26,19,1668,1668. 중계역 6번출구,정기권,M,20대,1,52.85,0.36,1570.0,16
2019-05-28,21,1295,1295. 잠실역 8번출구,정기권,,60대,1,79.30,0.75,3230.0,20
2019-05-25,1,1434,1434. 홈플러스 면목동점,정기권,,30대,1,53.25,0.38,1640.0,10
2019-05-29,15,1268,1268. 몽촌토성역 1번출구 옆,일일권,,30대,1,142.60,1.29,5540.0,35
2019-05-29,23,1332,1332. 석계역 5번출구 건너편,정기권,,50대,1,422.10,2.91,12540.0,80
2019-05-28,11,2303,2303. 논현역 7번출구,정기권,F,20대,1,40.93,0.37,1590.0,50
2019-05-24,23,1008,1008. 암사역 3번출구(국민은행앞),정기권,F,20대,1,14.00,0.16,680.0,5
2019-05-30,0,1009,1009. 천호역4번출구(현대백화점),일일권,,20대,4,379.65,3.44,14810.0,94
2019-05-31,19,2608,2608. 송파구청,정기권,,40대,1,37.32,0.34,1450.0,10
2019-05-26,8,183,183. 하늘채코오롱아파트 건너편,일일권,,20대,1,0.00,0.00,0.0,52
2019-05-31,16,1278,1278. 송파구청 교차로,정기권,,30대,1,24.62,0.17,740.0,5
2019-05-29,20,583,583. 청계천 생태교실 앞,정기권,F,20대,3,459.06,4.83,20850.0,86
2019-05-25,19,102,102. 망원역 1번출구 앞,정기권,F,40대,1,24.97,0.23,970.0,5
2019-05-27,23,1160,1160. 양천향교역 7번출구앞,정기권,F,20대,1,223.17,2.01,8670.0,45
2019-05-27,7,312,312. 시청역 1번출구 뒤,정기권,,30대,1,22.10,0.21,900.0,4
2019-05-31,9,1846,1846. 롯데캐슬골드파크1차 동문,정기권,,30대,1,63.32,0.57,2460.0,14
2019-05-25,16,1733,1733. 방학사거리 (봄마당 앞),정기권,,30대,1,117.00,0.72,3110.0,19
2019-05-28,11,2016,2016. 신대방삼거리역 3번출구쪽,정기권,F,20대,1,107.59,0.97,4180.0,42
2019-05-26,19,244,244. 영등포삼환아파트 앞,일일권,M,30대,1,64.31,0.54,2320.0,15
2019-05-25,16,2177,2177. 신대방역 2번 출구,정기권,M,~10대,1,115.83,1.04,4500.0,27
2019-05-30,17,232,232. 양평우림 이비즈센타 앞,정기권,F,20대,1,78.95,0.83,3560.0,23
2019-05-31,12,639,639. 서울시립대 후문,일일권,M,20대,1,19.96,0.19,800.0,3
2019-05-31,16,421,421. 마포구청 앞,일일권,F,30대,1,69.05,0.86,3710.0,30
2019-05-26,18,634,634. 외국어대 정문 앞,정기권,F,30대,1,70.01,0.63,2720.0,19
2019-05-31,13,302,302. 경복궁역 4번출구 뒤,정기권,M,40대,2,91.95,0.72,3120.0,23
2019-05-25,18,1611,1611. 과기대 입구(우),정기권,,20대,3,259.78,2.10,9050.0,109
2019-05-31,7,1135,1135. 강서구의회,정기권,,~10대,1,41.44,0.37,1610.0,8
2019-05-25,19,2062,2062. 사당새마을금고,정기권,,30대,1,78.71,0.61,2650.0,40
2019-05-29,8,1313,1313. 정릉교회 앞,정기권,,~10대,1,117.14,1.14,4930.0,15
2019-05-30,12,1692,1692. 온곡초교 교차로,정기권,F,20대,1,25.85,0.25,1070.0,6
2019-05-29,10,723,723. SBS방송국,일일권,,20대,1,88.29,0.80,3430.0,22
2019-05-29,20,151,151. 망원1동주민센터,정기권,F,30대,1,197.17,1.78,7660.0,52
2019-05-24,18,244,244. 영등포삼환아파트 앞,정기권,M,20대,2,46.72,0.52,2230.0,18
2019-05-31,9,907,907. CJ 드림시티,정기권,,30대,2,558.81,6.42,27670.0,201
2019-05-25,22,1685,1685. 불암고등학교 앞 횡단보도,정기권,,40대,1,91.63,0.83,3560.0,21
2019-05-31,16,559,559. 왕십리역 4번 출구 건너편,정기권,M,30대,2,160.42,1.32,5670.0,25
2019-05-25,15,537,537. 한양대후문역 부근,정기권,,20대,1,67.95,0.72,3120.0,21
2019-05-28,21,342,342. 대학로 마로니에공원,정기권,F,20대,1,14.45,0.17,730.0,4
2019-05-28,18,1121,1121. 가양레포츠센터앞,정기권,F,30대,2,745.18,6.65,28650.0,111
2019-05-24,22,1996,1996. 구일역 1번 출입구 앞,정기권,,30대,1,98.58,0.89,3830.0,17
2019-05-30,15,1611,1611. 과기대 입구(우),정기권,M,20대,2,115.33,1.03,4430.0,25
2019-05-30,21,2102,2102. 봉림교 교통섬,정기권,M,20대,1,28.99,0.28,1220.0,7
