"","user","grade","review"
"4571","조니","8","좀비장르의 공식들을 충실히 따르면서도 한국적인 설정과 가족애 신파를 버무려 넣은 작품. 공유의 연기는 기대 이상이었다. 후반부 눈빛 연기에서는 가족을 사랑하고 행복을 추구하면서도 괴물이 되어갈 수밖에 없는 우리 자신들에 대한 서글픔이 느껴졌다. 김의성과 마동석, 차장 정석용의 연기도 훌륭했다. 소희는 분발하길. 다음 작품에서 기대."
"4572","두포검사","10",""
"4573","폐급킬러","1","지나칠 정도로 과대평가된 영화좀비무비에 새로운 패러다임을 제시했다? 한국식 가족애 빼곤 뭐가 있지?갈등구조도 외국 좀비물에서 흔히 볼 수 있는 구조였고..무엇보다 굉장히 어색함, 대사부터해서 다 어색..긴장감도 전혀 못살리고..이 영화는 좀비영화의 수치수준임..외신 극찬일색이던데 날조 아닌가 싶을정도"
"4574","회충약","8","할매친구중 동생,소희, 특히아역 미스캐스팅. 그외 배우들 연기 좋음. 특히공유 연기 최고.  안유치하고 쫄깃함. 좀비연기는 지금껏봐온좀비영화들중 최고임.가장우려한부분이 가장 훌륭함. 에러-초반 좀비로변할때 사람들이 너무 태연한듯. 또 마지막 노래장면 왜넣은지.. 결정적에러임. 감동은 공유마지막장면하나로충분"
"4575","블로거","1","처음부터 스릴감은 없고, 너무 억지 스럽다... 서양 좀비 물과 왜 이리 차이가 나냐"
"4576","잿빛","1","몇개영화 짬뽕시킨것같고 유치한데 천만이라니 마케팅의 승리인가;;"
"4577","아쉬람","3","뭐지.. 좀비야 예상하고 본건데, 이게 왜 천만이지? 특색있는 소재에 대한 군중심리인가, 좋게 봐줄려고 애쓰면서 봤는데도 도무지 이해가 안되네. 소재와 시도에 의미를 주겠지만, 그외엔 전혀.. 재미도 그닥.. 나 참.. 배급사의 힘인가."
"4578","금연경험치상승","1","너무 어색해 안어울려 이게 왜 천만이야? 딱 킬링 타임용"
"4579","사악이","6","이게 왜 천만 영화가 된 거죠? 당최 이해할 수 없는 영화네요. 한국 관람객 수준이 너무 저렴해서 그런 건지... 걍, 시간 때우기로 작정하고 택하신 건지 이해가 안됨..."
"4580","야구허벅지","2","존나 유치해"
"4581","왜나무시해","6",""
"4582","송민영","8","연기력보다는 연출을 잘한듯한^^; 유치할줄알았는데 긴장감에 시간가는줄몰랐네요 !"
"4583","아바탉","8",""
"4584","에드워드권","8",""
"4585","appletree","8","억지장면이 있긴 했지만 스릴있게 잘만든듯....좀비들 고생많이 했겠더라..."
"4586","사설","0",""
"4587","귀염둥이윤석","8","분장만점 CG 미드보다 못한수준 몰입방해연기..안소희 최우식 발연기 몰입방해좀비들연기 워킹데드보다 잘함 최고아 스포한다 공유 뒤짐그리고 공유 딸 ..아들인줄연기 개못함 아역 많을텐데"
"4588","칼미아","6","한 마디만 하자면, 제발 한국영화들 질질끄는 신파 좀 하지말자."
"4589","무쏘의뿔","10","긴장감있고 재미있네.."
"4590","후니TM","6",""
"4591","she","7","김의성씨 연기가 오히려 영화 속에서 둥둥 뜨는 느낌이 들었습니다..  좀비영화를 현지화해서 이정도면 잘풀어낸게 아닌가 싶네요"
"4592","마이크 무시나","5","이런 영화가 천만이 넘어간다니 참..."
"4593","주인공","5","좀비물 좋아하는데..첫 장면 트럭운전수부터 엑스트라,조연배우들 모두 발연기ㅡㅡ몰입 전혀 안됩니다.마동석,정유미만 제대로된 연기를 했네요"
"4594","만두옆구리","6",""
"4595","지친다지쳐","8",""
"4596","쿠키","9","주연이 바뀐 듯...마동석의 부산행."
"4597","kio","9","좀비 영화 보고 눈물 흘릴 줄이야...막판에 맘 아파요"
"4598","Hewitt","7","잘 만들긴 했다. 허나 후반부에 조금 지루해지는 경향이 없지 않았다."
"4599","cacopator","6","감독의 (장르에 대한) 도전 정신, 나쁘지 않은 좀비 연기에 플러스,  배우들의 다소 어색한 연기(특히 김의성) 에 마이너스.  아, 정유미의 좋은 연기는 제외!!"
"4600","SioN","7","중용 혹은 적절한 타협. 전작들의 과격함은 사라졌지만 여전히 날카롭다. 관객을 계속해서 시험하는 감독의 악취미가 흐뭇하다."
"4601","양파깡","8","좀비물은 빠지지 않고 보는데 이정도면 세계무대에 나가도 잘 만든 편이라고 생각함. 달리는 좀비가 28일후부터 나왔는데 요즘 달리는 게 대세이긴 하지만, 좀비가 달려서 스케일이 작아서 그게 좀 아쉬움. 부산행2도 나왔으면 좋겠음."
"4602","dark_blue","1","전형적인 한국형 신파 코드"
"4603","스카","10","상업 예술성 영화 다 합쳐서 올해본 최고의영화 영화내내 몰입 하느라 끝나는줄 몰랏다 음악까지도 좋은영화"
"4604","JA_E","9","생각보다 잘 만든 영화. 특히 사람들의 이기심이 어떤 불행을 초래하는지, 더불어 위급한 순간에도 남을생각해야 되는 이유를 잘 보여주는 영화. 다만 끝마무리가 조금 아쉬웠던 점이 흠이다."
"4605","천연소혜","10",""
"4606","박상우","9",""
"4607","ry_choi","10","꿀잼"
"4608","차충현","0",""
"4609","기다릴겜","10",""
"4610","ㄷㅌㅎ","0","이기 뭐노 이기"
"4611","후후후","0","이영화가 왜 1000만이나 되는지..이해불가다..100만인정"
"4612","꽃하얀","8","아버지와 딸 캐릭이 아쉬움<U+11A2> 둘의 캐미가 좋았다면 흡입력 짱이었을텐데<U+11A2> 덕분에 할머니등의 조연들의 부자연스러움이 더욱 드러남 <U+11A2>   마동석의 부산행!!"
"4613","강서희","9","혹평을 하면서 통쾌감을 느끼나? 열심히 만든 스탭들과 열연해주신 배우들에게 이리 가혹하게 폭언들을 난무하는 건 좀..불편하네요. 한국판 좀비영화 이만함 훌륭했다고 여겨집니다. 물론 모든면에서 아쉬움도 있지만요. 2시간 내내 긴장감 넘치는영화였고 영화가 끝나고는 허탈한 마음에 나도 모를 눈물이 쏟아졌어요."
"4614","sayoung","8","따지고 들면 허술한 곳이 수두룩 하다. 앞뒤가 안맞는 설정과 오류, 억지스럽게 구겨 넣은 메시지... 그럼에도 불구하고 긴장과 집중을 이어가게 만드는 것만큼은 훌륭했다."
"4615","IY","7","의외로 허접하지않은 영화였다. 그런데 좀 아쉬운건 시나리오가 좀더 길게있었으면 한다는거~  이런 영화도 우리나라가 이제 제법 만든다는거에 놀란 영화~ 19세수준으로 시나리오와 조금의 잔인성만 첨가하면 헐리우드수준 될듯"
"4616","손승완","6","멍청하지만 날쌘 좀비들"
"4617","원동혁","10","처음으로 시간 가는줄 모르고 본 영화!!! 양호!!!"
"4618","천혜민","0","이딴영화를 천만이 봤다니 어이가없네.ㅋㅋ990만은 사기당한거구만그나마 마동석 때문에 끝까지 봐줬다."
"4619","여우비","6","좀비와 대치할때 태연하게 굴던 몇 연기자분들 때문에 집중이 안되더라"
"4620","죠니","10","터널보고 이거봐라. 진짜 재미있다. 뚫고 나가는 맛이 있다. 터널은 진까 ..어휴~~"
"4621","대한남","5","너무 어설프다.  언플에 낚인게 화남"
"4622","난나옹이다옹","1","빛이 없으면 안움직이는걸 알았으면 일단 안전한 열차칸에서 밤을 기다리고 그후에 움직이고.. 마지막 기차에서 아저씨가 완전히 좀비로 변하기전 얼른 공유가 기차밖으로 떨어뜨리면 다 살수 있었는데 무슨 '나집에 가고싶어요' 이소리를 들어주고 있어.. 답답허다~~! 일부러 공유를 좀비 만들기 위해 쓴티가 너무 난다."
"4623","알럽-슬라럼","10","""공부열심히 안하면 저아저씨처럼 된다"" ...... ""그런말 하는사람은 나쁜사람이래요"" 많은것을 생각하게 하는 영화였습니다. 눈물이 많이 났어요. 작품만든 전 스텝 배우들에게 감사합니다."
"4624","스팍","6","그래픽은 좋은데 스턴트신은 부족한 영화.아무래도 애니를 주로 만든 감독이다 보니 극영화에서 실제 스턴트신과 배우의 연기를 컨트롤하는 역량은 부족해 보임"
"4625","슷호퍼","7",""
"4626","화끈한늑대","1","B급도 안되는 영화. 설정, 연기, 몰입도... 해운대만큼이나 역대급 막장"
"4627","희망의나라로","7","허점과 몇가지 억지도 있고, 서구좀비와 한국적신파를 접목 하려하니 안어울리는건 사실. 하지만 검은사제들처럼 새로운 장르를 도전함에 박수를!!"
"4628","이막수","7","제주행2 만들어라~~~"
"4629","데이브","8","생각보다 더 잘 만든 영화. 스토리 라인이 탄탄하다. 공유 마동석 등 연기 좋았음"
"4630","assenza","4","연기 눈에 띄게 어색한사람이 몇몇 보이고 스토리도 지루했다 좀비영화는  나는 전설이다가 최고"
"4631","지수","9","한국영화치고 잘 만들었네요. 긴장감이.. 어우!! 살아남은 사람이 너무 없어서 아쉽.. 바이러스치료제 찾을때까지 공유는 좀 살려두지 ㅋ"
"4632","7시간구운닭","8","자칭 좀비영화 매니아인데 꽤 잘 만들었다. 긴장감 유지하는데 성공이었음. 근데 다른 이 감상평을 보다보니 오락영화보다는 다큐영화를 봐야할 인간들이 좀 보이네. ㅋㅋㅋ"
"4633","켈리","1","시작부터 진부하고.좀비들은 헐리웃 영화보고 연습좀 많이들 했네."
"4634","백미숙","9","한국좀비영화 신선했고 시간가는줄 모르고봄~~~"
"4635","고래등뼈","6","좀비영화 안좋아하는데.. 생각 보다 잼나게 봤네.. 좀비영화인데 한국스러운 스토리로 ^^ 그래도 난 안슬프더라 하두 많이 봐서"
"4636","라무스","9","스토리야 어쨋든 촬영이나 분위기는 아주 좋은 편. 특히 기차에 메달리는 씬은 굉장히 어려웠을 듯. 좀비보다 사람들의 편견에 대해 닷 한번 생각하게 하는 영화. 마동석과 공유가 인상적이었디"
"4637","연탄재","7","터널의 연장선... 어벤저스가 요기있네...  송도상륙작전으로 이어질까? 좀비연기자분들 개고생에 박수를~"
"4638","help","10",""
"4639","하얀 바람","9","영화가 이만하면 되지..근데 주인공들이 다 죽어버려 아쉽다.."
"4640","핫핫핫","7","천만의미스테리"
"4641","쿠루쿠루","7","음 기승전 신파 신파없음 우리나라 영환 못만드냐?  마지막에 확깨네첫 좀비영화 시도한건 박수쳐줄만 하지만 천만영화는 아닌듯"
"4642","무당거미","5","헐~ 이게 천만이라니... World War Z가 10배는 더재밌다!스케일 좆나 구리다!"
"4643","서서","9","간만에 재밌는 한국영화 봤는데 몰입도 좋음 !!!"
"4644","라이","8",""
"4645","아이마르","9","좀비라는 게 현실속에 있는것도 아닌데 뭔 낮 밤 타령이야? 5초만에 바뀌든 20초만에 바뀌든 작가 마음이지. 모든 좀비가 꼭 5초만에 바뀌는게 영화 법으로 정해져 있냐? 스토리라인 좀 약한게 아쉽지만 한국 첫 대중적 좀비물 치곤 굉장히 잘 만들었다. 해외에선 다 극찬하고 난리 났는데 한국 놈들 종특 어지간히 해라"
"4646","장효림","10",""
"4647","메이플라워","9",""
"4648","망치한자루","1","이게 머냐아니 좀비가 어떤놈은 5초만에 바뀌고 어떤놈은 20분이나 가냐?그리고 좀비가 하는짓들이 어떻게 인간이 하는짓이랑 똑같냐?그리고 낮이랑 밤이랑 틀리든데  그 근거가 뭐냐?냄세냐???시력이냐?뭐냐?근데 그렇게그리고 주인공 딸애비의 흰셔츠에 뭍어있는  피색분홍색이 머냐?장난하냐?"
"4649","젊음이란","9","뭔 좀비영화에 내용을 따지고 개연성을 따지고 난리들이여....그냥 잼나게 보면 되는거지..솔직히 시간가는줄 모르고 밨다...마동석이 조금 일찍 죽어서 아쉽긴 했지만..."
"4650","2사장","2","대에박~~!!!! 재미없음.  긴박한 순간 늘어지는 음악과 신파상황극~!!"
"4651","현결","4","재.미.없.음. 이 쩔고 있음. 한정된 공간안에 대사와 등장인물이 미어 터지고 있음. 뻔한 얘기를 뻔한 앵글로 풀어감. 좀비연기가 오그라들지 않은 게 유일하게 건질만한 점임. 이 영화가 폐지라면 똥딱는데조차도 아까운거임."
"4652","빵꾸똥꾸","10","지금껏 만든 재난 영화중에 제일 재밌네요공유는 이제 재난 영화 전문 배우~~공유 너무 잘어울려요"
"4653","배둘레햄","0","기대안했는데..더 후짐"
"4654","준비완료","7",""
"4655","바라미","9","전 개인적으로 재미있었어요. 시간 가는줄 모르고 보게 되는 그런 영화였네요~"
"4656","난201이다","0","재밌네~ 근데 주인공들 다죽여서 빵점"
"4657","Don Choo","10","꼭 보고 싶어서 마침내 봤는데 ... 맨 마지막 장면에 꼬마 여자애가 억지로 우는것 같아서 아주 짜증났는데 ..산모랑 같이 터널 지나가면서 노래부를 때 나도 몰래 눈물이 나왔다. 탄탄한 줄거리에 시간 가는줄 몰랐다. 강추"
"4658","neophyte","8",""
"4659","캘리버","5","요기 댓글 알바가 많은듯....솔직히 스토리라인은 정말 최악인게 허구헌날 이혼남에 자식 누가 키우냐 부터시작해서 등등 어디서 본영화 스토리를 끼워 맞춘느낌에 아줌마를 할머니 분장시켜서 할머니 같지도 않고 오히려 집중력이 깨지고 그냥 cg 가 제일 볼만 했네요.그냥 5.0"
"4660","청향","8","좀비물이 이렇게 사람울리는 건 반칙아님?재밌게 봤다."
"4661","정훈","6","신선해서 좋았다 하지만 천만이나 볼정도로 훌륭한건가 역시 이제는 볼게없으니 울며겨자먹기로 봐야하는건가"
"4662","Choichef","10","연기가 어쩌고 개연성이 어쩌고 결말이 어쩌고 스토리가 어쩌고 저쩌고 왜 1000만 영화를 비판하면 너희들이 뭔가 되는가 싶냐?ㅈ문가들 전문가가 되고 싶으면 이영화가 뭘말하는지 왜만든건지 정도는 눈치채고 봐라.눈치가 없으면 가만히라도 있던가 아는척좀 그만하고 이 ㅈ 문가들아"
"4663","바람속으로","10","정말 재밌게 봤습니다"
"4664","꿈","10","할리우드 좀비영화에 버금가는 아주 재밌는 영화네요. 이번기회에 공유도 좋아지고 좋네요. 이영화."
"4665","낑낑보","2","뻔한 내용 별다를거 없는 전개 영화적 상상력 제로공유 애가 영화 끝날때쯤 되서야 딸인줄 알았다계속 아들인줄 알았다애 얼굴이 현실적이라서 2점 준다"
"4666","wobbler","0","언플 좀 그만해라 잠와 죽는 줄"
"4667","Orange-Sunshine","7","좀비물로 울어보긴 처음이다. 가히 2016년 최고의 화제작이다."
"4668","The Manager","2","끝이 왜 이러냐? 이런 영화가 천만이라니 참.."
"4669","흑흑이즈","7","전개나 감정선은 상당히 마음에 든다. 긴장감도 일품. 꾸역꾸역 억지 설명만 늘어놓는 영화들에 비하면 아주 훌륭한 편. 하지만 좀비라는 소재 자체의 한계일런지, 그 이상도 이하도 없긴하다. 조연인 마동석이 가장 인상에 남는다."
"4670","동네1등페인","8","한국형좀비에 일진보한 느낌 괞찬네요 영화"
"4671","저니","7","소희  는 왜 나왔는지. . . 빨리요↗ 빨리요↗ 사람이 있어요"
"4672","kyhwans","10","꼬마 아이 너무 귀여웠어요. 내가 아버지라도 목숨걸고 지킬듯..."
"4673","자하연","0",""
"4674","펜실베니아","3","영화 개런티는 다 좀비 배우들에게 줘야 한다.좀비 배우들 연기 빼곤 볼게 없던 영화.아, 마동석 코믹 연기가 그나마 영화 살렸다.."
"4675","북극악어","4","좀비 매니아로써 너무 재미읍다. 딱 4점자리 B급영화"
"4676","도롱태","6","지겹지는 않지만...내용의 시작과 끝이 너무 부실하다. 속편을 노린 건가?"
"4677","르네루소","8","2시간 집중 킬링 영화~ 내용이 부족해도 충분히 볼만하다~"
"4678","이길스99","0","시간과 돈이 아깝다이런걸 영화라고"
"4679","열흘나비","1",""
"4680","날아올라","9","최고다 소희때문에 1점 뼀다"
"4681","무서운마녀","1",""
"4682","jhnsrr","4",""
"4683","최영진","8","아쉬운 부분도 있지만 이정도면 서양영화에 비해서도 상위권은 들겠다"
"4684","왕좌의계모임","8","우리나라도 좀비 영화를 만들수 있는 기술력이 있단걸 증명한 영화,하지만 억지감동과 설정, 맞지 않은 미스 케스팅 할머니역은 ,헐 저게 할머닌가 하는 얼굴이고 어린애역은 동남아출신? 주인공 공유보단 마동석이 살린 영화,아쉽다,"
"4685","국력은 힘","10","꿀잼~~~"
"4686","시우사랑","6","역시 소문난 잔치 멋을것 없다더니만..."
"4687","mik0506","6","스토리는 웃음밖에 안나오네ㅋㅋ 억지감동 쥐어짜려다 실패"
"4688","알앤비","9","볼만하네..뭔 좀비 영화에 개연성을 따지냐 개연성 뜻은 아나 ㅋㅋ 맨날 영화 평가할때 개연성 어쩌고 저쩌고 씨부려 ㅄ들 ㅋㅋ"
"4689","알앤비","9",""
"4690","너구리","2","외국처럼 좀비연기 리얼하게 만들었는데 내용이 없내? 초반기대가 완전 무너지면서 스킵하면서 봄ㅋㅋㅋㅋㅋㅋㅋㅋ 2016년도 영화는 주토피아 빼곤 다 망작이다. 어휴 영화관에서 안봐서 다행이지...."
"4691","스페인만세","3","이 영화은 공은 좀비를 맞는 배우들이다."
"4692","스페인만세","3",""
"4693","프리윈드","2","이런 영화가 천만이라니 어의가 없다억지 설정에 뻔히 보이는 스토리 공유가 감염되어 자살한다거나 자폭할줄알았는대 여지없네"
"4694","diekfkdfdg","4","마동석이중심을 잡아줘 그나마.... 공유의 비주얼....  그 두가지 외엔 그냥 손발 오그라드는.... 이런영화가 천만? 한국영화중엔  태극기 휘날리며  외엔 작품성과 시나리오를 논할 영화가 없다."
"4695","뽀뽀뽀유치원","10","좀비 영화나 드라마 매니아인데!기대 이상으로 좋았어요!!슬픈 장면도 있고!!약간 아쉬운거는 바이러스가ㅜㅜ 퍼진 이유가 전화로만 나와서? 랄까ㅋㅋㅋ좀비에 초점을 맞추기 보다는 사회를 반영한 영화인듯! 감독님 영화 사이비도 봤었거든요! 전 꿀잼♥"
"4696","미소천사","9","좀비들에게 경의를"
"4697","Peter K","9","좀 늘어지는 감이 없진않고 개연성 역시 부족하다.하자만 울 나라 지명이 제목이라 좋고 긴장감을 시종일관 놓지않았다. 좀비영화치곤 섬세한 연출이다. 이 영화는 세계적인 좀비영화다. 참 섬세하다."
"4698","멍미","9",""
"4699","티리얼","1","평점 보고 영화 봤는데 ..마무리 부분에서 이건뭐지?? 이런느낌..뭔가 찝찝함을 남기고 끝남.."
"4700","뒤마페르","7","무자게 재밌네 ㅋㅋ 가슴도 찡하고~ 하지만 참 많이 봐왔던 설정~"
"4701","박준희","7","땀을 쥐는 서스펜스가대한민국표 좀비를 실고 길고 긴 터널로 들어가다."
"4702","kjs5149","9","한국에서 이정도면 수작.. 신선한 시도 좋았음.. 보통 좀비영화라면 아쉽지만 우리나라 영화니까 프리미엄 줘야지.."
"4703","은별이","5","감독의 시도는 좋았다...다만 수많은 좀비 영화 반만 따라했어도 좋았을걸긴장감도 없고..스토리 전개도 빈약하고 배우들도 뭔가 엉성한기... 호기심에 많이 본거지헐리우드 비급수준 밖에 안되네"
"4704","삐돌이다","10","정말 스릴이 넘치고 정말 재밌음"
"4705","아싸","9",""
"4706","다나","7","밑도 끝도 없는 좀비들의 등장은 당황스럽지만 흥미롭긴하다"
"4707","노정민","6",""
"4708","HJH","9","평론가들의 평론은 그저 평론을 위한 평론일 뿐이라는 것을 다시 한번 증명해 준 영화...영화는 입으로 보는게 아니라 눈과 가슴으로 보는 거"
"4709","세원","7",""
"4710","하늘","10","재밌게보았던영화였습니다"
"4711","소담낭자","9",""
"4712","라기","5","좀비 설정오류가 많습니다.."
"4713","송 정","8",""
"4714","CM_JM","9","필리핀에서 많은 현지인들과 보면서 왠지 뿌듯했음"
"4715","홍다솜","6","소재가 신선해서 볼 만 하지만앞 뒤 내용이 너무 없다"
"4716","정경옥","10",""
"4717","준님","8","전체적으로 괜찮음.하지만 약간의 억지 스토리가 공감이 안가는 부분이 다소 있음."
"4718","써니1996","8",""
"4719","하늘","10","잘 만들었네요! 고생많이 하셨어요!"
"4720","시미오네","10","한국블락버스터 많이 발전했고 사회상,인간상 표현하는데 애썼고마블보다가 cg 유치하다 웃을지 몰라도 울고 싶은 대한민국사람들 감성에 이입되어달래주고 희망주고 하는덴 그래도 한국영화가 낮다 싶은 생각이 들었다."
"4721","찬바람","8",""
"4722","반도인더스트리","10",""
"4723","유지용","10",""
"4724","이정숙","7",""
"4725","cantorean","8","전혀 기대 안하고 봤다가 깜짝 놀란 영화이젠 한국영화가 좀비까지?!!"
"4726","모니","2","이걸 본 지인들이 재미없다고 해서 안보고 있다가, 언론에서 하도 부산행 역대최대관객, 재미있다, 감동적이다. 등등 언플을 거대하게 하여,, 속는셈치고 한번 보자 해서 주말에 다녀왔다. 근데..결론은 재미없다.이거다."
"4727","말없는여행","0","내 인생 최초로 평점을 매길수 없는 영화. 이 영화의 장점은 오로지 좀비cg효과에 있을뿐, 스토리의 개연성에서는 0~1점이다.  이 영화가 탄생햇을 가능성은 이하 3가지중 하나로 압축될수 있다. 1. 감독이 돈이 많은 도련님(엄마 나 영화하나찍게 돈좀 줘봐) 2. 좀비cg를 막 배워온 혈기넘치는 젊은 감독 3. 웹툰 베낌."
"4728","zeus","6",""
"4729","베리맛","10","진짜 재밌었고 깜짝 놀래서 심장이 바운스"
"4730","긍정과희망","1","아 진짜 돈아깝다  어이가없었다  정말  어이가없고  억지감동이고짜증난다 최악의영화였다  이게 천만이 넘다니 더어이없다"
"4731","테오","10",""
"4732","엘사","6","잘 만든 안방드라마수준"
"4733","조군","10","28일후 뭐그런 좀비영화..워킹데드 등 다봤고 한국에서 좀비라 별기대안했는데 진짜 재밌게봤어요. 김의성땜에 욕나오는거 빼곤 정말 흠잡을때가 없네요."
"4734","vlfl1476","10",""
"4735","푸른날애","10",""
"4736","가뜩이나","10","헐... 이런 영화를 평점 7.2를 주다니... 눈이 높은건지 영화볼줄 모르는건지. 이영화는 내용, 연출, 감독, 구성, 편집, 음향. 연기 모든것이 훌륭했다. 한국에선 보기드문 수작이다. 다만 한가지 아쉬운건 공유 얼굴이 너무 잘생겨서 튄다는거"
"4737","ljm7951","9",""
"4738","다순기미","4",""
"4739","꾸메","3","(스포일러주의) 전체적인 내용은 스릴있었지만, 막판 결말은 정말 너무너무 실망스다. 감염된 사람들을 치료할 백신도 없이 부산을 제외한 전국 도시에 모든 대한민국 사람들이 좀비가 되어 멸종하는 스토리로 만들다니!!"
"4740","diana","3",""
"4741","NaControl","10",""
"4742","태형","8",""
"4743","임바른","10","팬공유진수나야은경누나"
"4744","조혜림","10",""
"4745","열정우먼","10",""
"4746","seaflower","7","김의성씨..명존쎄 갑시다~"
"4747","MINAKIM","8","후반이좀아쉽"
"4748","허창영","7",""
"4749","배씨대왕","6","천만 영화라고  하기엔  뭔가 부족함.."
"4750","깜장고무신","1",""
"4751","아싸라비아","9",""
"4752","네잎크로바","10",""
"4753","아저씨","8","잘 만들어진 한국식 좀비영화"
"4754","eun","10","처음부터 끝까지 지루할틈이 없었어요.너무 재밌어요."
"4755","전력질주","0","이딴 영화를 돈주고 보느니 유니세프에 보내줘라"
"4756","gggg","8","몇몇 좀비에 관한 설정은 맘에 안들었지만 아이디어가 너무 좋았다 기차안에서의 해프닝이라니. 진짜 괜찮았다."
"4757","낮잠맛손군","9","대한민국 영화에서 좀비장르가 성공할줄은 꿈에도 몰랐는데 이정도까지 잘만들어낼줄은... 개인적으론 용사마동석님의 포쓰를 간만에 다시 느꼈다!"
"4758","이승연","10",""
"4759","하하하","10","평점왜이래? 정말재밌게봤는데"
"4760","dorothea","5",""
"4761","여전사","9","기존 좀비물들과 비교해봐도 스토리라인이나 설정들에서 신선한 맛!이 느껴지고 좀비들의액션이나 그 상황들에 대한 묘사 또한 색다른 듯해서 더 굿굿!"
"4762","유령","8","다소 개연성이 떨어지지만 전체적인 짜임새가 좋은 영화.마지막 장면에 공유의 아기회상씬은 Omit 하는 것이 훨씬 나았을듯."
"4763","아름디리","7",""
"4764","대통령 똑바로 잘좀 혀봐","5",""
"4765","paran","0",""
"4766","버들","7",""
"4767","asd","7",""
"4768","야야맘","7","좀비보다 사람이 무섭다는 생각이... 딱 여름 영화"
"4769","우수","9",""
"4770","고공다이빙","6",""
"4771","고인돌","9","박진감, 과하지 않는 감동 좋았어요"
"4772","모닝 국제모터","10",""
"4773","오렌지공작","6","좀비가 너~무 빨라.."
"4774","here06","6","너무 말이안됨 잼 없어서 돈아깝다 ㅠㅠ"
"4775","대한이야","10","좀비물 치고 볼만함.올해본 영화중에 그나마 재밌음."
"4776","바할란","10","와. 오늘 보고 왔는데 이렇게 잘 만들지 몰랐다. 특히나 좀비역의 엑스트라들이 너무 잘했다.  한국영화 거의 안보는데 이렇게까지 발전했구나."
"4777","신영","10","우리나라도 완벽한 좀비를 만들 수 있다"
"4778","김지영","10",""
"4779","바로나","10","제가 토요일 부산행 영화를 봐는데 재미고, 또 보고싶다"
"4780","마누라주민번호","0",""
"4781","annie","8","정작 징그러운 건 좀비가 아니라 너무나도 리얼한 인간군상."
"4782","한국캘리그라피협회","6",""
"4783","아잉쿵","10","제가 지금까지 영화관에 가서 영화를 본적이 없었는데 어제 처음으로 가서 부산행을 봤는데 너무  스릴넘치고 재미있게  잘..보고 왔네요 ㅎㅎ"
"4784","행복한이기주의자","10","다른 것을 떠나 쉴새없이 좀비들이 들이닥치는 것이 외국영화보다 더 나은 것 같습니다. 좀비로 출연한 분들에게 보너스 많이 주세요... 너무 애처러워요. 주먹으로 두둘겨맞고 야구방방이로 두둘겨맞고....ㅠㅠ"
"4785","아바이","8","나름 재미있게는 봤지만 뭔가 좀 어설픈 느낌이 많이 드는 그런 영화, 아무리 가상현실이라지만 좀 더 현실적으로 묘사했으면 더욱 좋았을텐데 하는 아쉬움이 남는다"
"4786","내일","6","연기력이 최민식 수준에   미치려면  한참  멀었다"
"4787","FuckingAwesome","7","스포 알고봤지만 그냥 소소"
"4788","unicorn","5",""
"4789","퍄너사랑","7",""
"4790","구구구구콩","9","솔직히 그렇게 기대 안했는데 상상 이상이었다.. 조금 억지 감동만들려는 부분이 조금만 자연스러웠으면.. 아주 잘 만든 영화같다"
"4791","survivor","7","잘 만든 영화다. 다만 감동적인 요소를 너무 극대화 할려고 하다 보니 조금 부자연스러운 면도 느껴진다."
"4792","anwlro","10","연기들 잘하네...나중엔 눈물까지..."
"4793","강태수","5",""
"4794","기타가조아라","10","볼만한게 없어서 기대안하고 방금 봤는데끝내주게 잼있었습니다해외에서 알아줄듯..짜임새 긴장감..마지막 열차씬 대박..딸이 노래 부를때 펑펑 울기도.."
"4795","서울시민","10","결론적으로 말하면 재미있었습니다. 꼭 보세요. 우리나라에서 드물게 잘 만든 블럭버스터급 영화입니다.해외에서도 통할 것 같습니다. 해외판은 이해를 돕기위해 경부선 노선도를 삽입해주는게 좋을지도..^^"
"4796","에스프레소","7",""
"4797","배봉","8",""
"4798","Asdfg","10","와. 진짜. 돈 쳐버른 월드워 지 보다   가성비갑!!! 소희가 옥에티네요.    진짜. 군더더기없이 엄청잼나서 충격"
"4799","쭈니엄마","10",""
"4800","무한자랑","7","좀비가 연기를 너무 잘함.  ㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"4801","밤토리-도토리","10","와 이거~ 한국최초 좀비영화라는데 정말 잘 만들었네요.. 천만 넘을 만 해요.. 좀비 역할한 분들 이름보려고 끝까지 앉아있다가 투자자 명단보고 급급급급 부러움!!!!"
"4802","묵향","10","좀비영화의 새로운 기획~~"
"4803","조진석","9","3살 아들둔 애기아빠로서 혼자 가볍게봤다가..,마지막 딸태어나는거 생각하면서 죽는신보다가 눈물이 펑펑 ㅠㅠ 생각지도 못한 눈물을 참으면서 극장을 나왔네요 신파가 아니라 아빠로서 감정이입이 잘되었음.."
"4804","라이거","10","이 정도면 엄청 재미있음"
"4805","타마코","10","최고!!!"
"4806","토마스","3",""
"4807","작두","7",""
"4808","수색","10",""
"4809","길손","8",""
"4810","딩푸딩푸","10","아직보진못했지만"
"4811","아리","10",""
"4812","이서진","10",""
"4813","날개를펴다","9","난 좀비 영화는 싫어하지만 연상호감독은 영화를 참 잘만들었다......"
"4814","장인규","9",""
"4815","MARVEL","7","시도도 좋고 연출도 나쁘지 않지만,  완성도가 떨어진다."
